ID number,Source Plate&Well,384-Barcode,384-Well,384-Barcode&Well,Chemical name,Formula,MolWt,CAS number
Prestw-909,12C10,SL-000-1215,F20,SL-000-1215F20,Nabumetone,C15H16O2,228.29357,42924-53-8
Prestw-910,12C11,SL-000-1215,F22,SL-000-1215F22,Nisoxetine hydrochloride,C17H22ClNO2,307.82339,57754-86-6
Prestw-911,12D02,SL-000-1215,H04,SL-000-1215H04,(+)-Isoproterenol (+)-bitartrate salt,C15H23NO9,361.35186,14638-70-1
Prestw-912,12D03,SL-000-1215,H06,SL-000-1215H06,Monobenzone,C13H12O2,200.23939,103-16-2
Prestw-913,12D04,SL-000-1215,H08,SL-000-1215H08,2-Aminobenzenesulfonamide,C6H8N2O2S,172.20686,3306-62-5
Prestw-914,12D05,SL-000-1215,H10,SL-000-1215H10,Estrone,C18H22O2,270.37484,53-16-7
Prestw-915,12D06,SL-000-1215,H12,SL-000-1215H12,Lorglumide sodium salt,C22H31Cl2N2NaO4,481.39917,97964-56-2
Prestw-916,12D07,SL-000-1215,H14,SL-000-1215H14,Nitrendipine,C18H20N2O6,360.3699,39562-70-4
Prestw-917,12D08,SL-000-1215,H16,SL-000-1215H16,Flurbiprofen,C15H13FO2,244.26806,5104-49-4
Prestw-918,12D09,SL-000-1215,H18,SL-000-1215H18,Nimodipine,C21H26N2O7,418.45057,66085-59-4
Prestw-919,12D10,SL-000-1215,H20,SL-000-1215H20,Bacitracin,C66H103N17O16S,1422.72511,1405-87-4
Prestw-920,12D11,SL-000-1215,H22,SL-000-1215H22,L(-)-vesamicol hydrochloride,C17H26ClNO,295.85587,112709-59-8
Prestw-921,12E02,SL-000-1215,J04,SL-000-1215J04,Nizatidine,C12H21N5O2S2,331.46147,76963-41-2
Prestw-922,12E03,SL-000-1215,J06,SL-000-1215J06,Thioperamide maleate,C19H28N4O4S,408.52341,106243-16-7
Prestw-923,12E04,SL-000-1215,J08,SL-000-1215J08,Xamoterol hemifumarate,C36H54N6O14,794.86358,73210-73-8
Prestw-924,12E05,SL-000-1215,J10,SL-000-1215J10,Rolipram,C16H21NO3,275.35067,61413-54-5
Prestw-925,12E06,SL-000-1215,J12,SL-000-1215J12,Thonzonium bromide,C32H55BrN4O,591.72535,553-08-2
Prestw-926,12E07,SL-000-1215,J14,SL-000-1215J14,Idazoxan hydrochloride,C11H13ClN2O2,240.69146,79944-56-2
Prestw-927,12E08,SL-000-1215,J16,SL-000-1215J16,Quinapril HCl,C25H31ClN2O5,474.98922,82586-55-8
Prestw-928,12E09,SL-000-1215,J18,SL-000-1215J18,Nilutamide,C12H10F3N3O4,317.2264,63612-50-0
Prestw-929,12E10,SL-000-1215,J20,SL-000-1215J20,Ketorolac tromethamine,C19H24N2O6,376.41293,74103-07-4
Prestw-930,12E11,SL-000-1215,J22,SL-000-1215J22,Protriptyline hydrochloride,C19H22ClN,299.84689,1225-55-4
Prestw-931,12F02,SL-000-1215,L04,SL-000-1215L04,Propofol,C12H18O,178.27666,2078-54-8
Prestw-932,12F03,SL-000-1215,L06,SL-000-1215L06,S(-)Eticlopride hydrochloride,C17H26Cl2N2O3,377.31437,97612-24-3
Prestw-933,12F04,SL-000-1215,L08,SL-000-1215L08,Primidone,C12H14N2O2,218.25758,125-33-7
Prestw-934,12F05,SL-000-1215,L10,SL-000-1215L10,Flucytosine,C4H4FN3O,129.09438,2022-85-7
Prestw-935,12F06,SL-000-1215,L12,SL-000-1215L12,(-)-MK 801 hydrogen maleate,C20H19NO4,337.37873,77086-19-2
Prestw-936,12F07,SL-000-1215,L14,SL-000-1215L14,Bephenium hydroxynaphthoate,C28H29NO4,443.54763,3818-50-6
Prestw-937,12F08,SL-000-1215,L16,SL-000-1215L16,Dehydroisoandosterone 3-acetate,C21H30O3,330.47145,853-23-6
Prestw-938,12F09,SL-000-1215,L18,SL-000-1215L18,Benserazide hydrochloride,C10H16ClN3O5,293.70912,14919-77-8
Prestw-939,12F10,SL-000-1215,L20,SL-000-1215L20,Iodipamide,C20H14I6N2O6,1139.77078,606-17-7
Prestw-940,12F11,SL-000-1215,L22,SL-000-1215L22,Esculetin,C9H6O4,178.14577,305-01-1
Prestw-941,12G02,SL-000-1215,N04,SL-000-1215N04,Pentetic acid,C14H23N3O10,393.35351,67-43-6
Prestw-942,12G03,SL-000-1215,N06,SL-000-1215N06,Bretylium tosylate,C18H24BrNO3S,414.36488,61-75-6
Prestw-943,12G04,SL-000-1215,N08,SL-000-1215N08,Pralidoxime chloride,C7H9ClN2O,172.61558,51-15-0
Prestw-944,12G05,SL-000-1215,N10,SL-000-1215N10,Phenoxybenzamine hydrochloride,C18H23Cl2NO,340.29611,63-92-3
Prestw-945,12G06,SL-000-1215,N12,SL-000-1215N12,Salmeterol,C25H37NO4,415.57794,89365-50-4
Prestw-946,12G07,SL-000-1215,N14,SL-000-1215N14,Altretamine,C9H18N6,210.28401,645-05-6
Prestw-947,12G08,SL-000-1215,N16,SL-000-1215N16,Prazosin hydrochloride,C19H22ClN5O4,419.87129,19237-84-4
Prestw-948,12G09,SL-000-1215,N18,SL-000-1215N18,Timolol maleate salt,C17H28N4O7S,432.49931,26921-17-5
Prestw-949,12G10,SL-000-1215,N20,SL-000-1215N20,"(+,-)-Octopamine hydrochloride",C8H12ClNO2,189.64334,770-05-8
Prestw-950,12G11,SL-000-1215,N22,SL-000-1215N22,(±)-Nipecotic acid ,C6H11NO2,129.16007,498-95-3
Prestw-951,12H02,SL-000-1215,P04,SL-000-1215P04,Crotamiton,C13H17NO,203.28654,483-63-6
Prestw-952,12H03,SL-000-1215,P06,SL-000-1215P06,Propranolol hydrochloride,C16H22ClNO2,295.81224,318-98-9
Prestw-536,12H04,SL-000-1215,P08,SL-000-1215P08,(R)-(+)-Atenolol,C14H22N2O3,266.34304,56715-13-0
Prestw-954,12H05,SL-000-1215,P10,SL-000-1215P10,Tyloxapol,C59H96O12,997.41577,25301-02-4
Prestw-955,12H06,SL-000-1215,P12,SL-000-1215P12,Florfenicol,C12H14Cl2FNO4S,358.21808,73231-34-2
Prestw-956,12H07,SL-000-1215,P14,SL-000-1215P14,Megestrol acetate,C24H32O4,384.52024,595-33-5
Prestw-957,12H08,SL-000-1215,P16,SL-000-1215P16,Deoxycorticosterone,C21H30O3,330.47145,64-85-7
Prestw-958,12H09,SL-000-1215,P18,SL-000-1215P18,Urosiol,C24H40O4,392.584,128-13-2
Prestw-959,12H10,SL-000-1215,P20,SL-000-1215P20,Proparacaine hydrochloride,C16H27ClN2O3,330.85819,5875-06-9
Prestw-960,12H11,SL-000-1215,P22,SL-000-1215P22,Aminocaproic acid,C6H13NO2,131.17601,60-32-2
Prestw-961,13A02,SL-000-1218,A03,SL-000-1218A03,Denatonium benzoate,C28H34N2O3,446.59478,3734-33-6
Prestw-962,13A03,SL-000-1218,A05,SL-000-1218A05,Scopoletin,C10H8O4,192.17286,92-61-5
Prestw-963,13A04,SL-000-1218,A07,SL-000-1218A07,Enilconazole,C14H14Cl2N2O,297.18648,35554-44-0
Prestw-964,13A05,SL-000-1218,A09,SL-000-1218A09,Methacycline hydrochloride,C22H23ClN2O8,478.89021,3963-95-9
Prestw-965,13A06,SL-000-1218,A11,SL-000-1218A11,Gibberellic acid,C19H22O6,346.38359,77-06-5
Prestw-966,13A07,SL-000-1218,A13,SL-000-1218A13,Sotalol hydrochloride,C12H21ClN2O3S,308.82977,959-24-0
Prestw-967,13A08,SL-000-1218,A15,SL-000-1218A15,6-Hydroxytropinone,C8H13NO2,155.19831,5932-53-6
Prestw-968,13A09,SL-000-1218,A17,SL-000-1218A17,Decamethonium bromide,C16H38Br2N2,418.30266,541-22-0
Prestw-969,13A10,SL-000-1218,A19,SL-000-1218A19,3-Acetamidocoumarin,C11H9NO3,203.19928,779-30-6
Prestw-970,13A11,SL-000-1218,A21,SL-000-1218A21,Roxarsone,C6H6AsNO6,263.03942,121-19-7
Prestw-971,13B02,SL-000-1218,C03,SL-000-1218C03,Remoxipride Hydrochloride,C16H24BrClN2O3,407.73828,73220-03-8
Prestw-972,13B03,SL-000-1218,C05,SL-000-1218C05,THIP Hydrochloride,C6H9ClN2O2,176.60383,
Prestw-973,13B04,SL-000-1218,C07,SL-000-1218C07,Pirlindole mesylate,C16H22N2O3S,322.42934,60762-57-4
Prestw-974,13B05,SL-000-1218,C09,SL-000-1218C09,Pronethalol hydrochloride,C15H20ClNO,265.78575,51-02-5
Prestw-975,13B06,SL-000-1218,C11,SL-000-1218C11,Naftopidil dihydrochloride,C24H30Cl2N2O3,465.4243,57149-08-3
Prestw-976,13B07,SL-000-1218,C13,SL-000-1218C13,Tracazolate hydrochloride,C16H25ClN4O2,340.85625,41094-88-6
Prestw-977,13B08,SL-000-1218,C15,SL-000-1218C15,Zardaverine,C12H10F2N2O3,268.2219,101975-10-4
Prestw-978,13B09,SL-000-1218,C17,SL-000-1218C17,Memantine Hydrochloride,C12H22ClN,215.76884,41100-52-1
Prestw-979,13B10,SL-000-1218,C19,SL-000-1218C19,Ozagrel hydrochloride,C13H13ClN2O2,264.71376,78712-43-3
Prestw-980,13B11,SL-000-1218,C21,SL-000-1218C21,Piribedil hydrochloride,C16H19ClN4O2,334.80843,78213-63-5
Prestw-981,13C02,SL-000-1218,E03,SL-000-1218E03,Nitrocaramiphen hydrochloride,C18H27ClN2O4,370.87989,
Prestw-982,13C03,SL-000-1218,E05,SL-000-1218E05,Rilmenidine hemifumarate,C24H36N4O6,476.57772,54187-04-1
Prestw-983,13C04,SL-000-1218,E07,SL-000-1218E07,Dimaprit dihydrochloride,C6H17Cl2N3S,234.19249,23256-33-9
Prestw-984,13C05,SL-000-1218,E09,SL-000-1218E09,Reserpinic acid hydrochloride ,C22H29ClN2O5,436.93983,83-60-3
Prestw-985,13C06,SL-000-1218,E11,SL-000-1218E11,Beta-sistosterol,C29H50O,414.72125,83-46-5
Prestw-986,13C07,SL-000-1218,E13,SL-000-1218E13,Proscillaridin A,C30H42O8,530.66444,466-06-8
Prestw-987,13C08,SL-000-1218,E15,SL-000-1218E15,Sanguinarine,C20H14NO4,332.33888,2447-54-3
Prestw-988,13C09,SL-000-1218,E17,SL-000-1218E17,Harpagoside,C24H30O11,494.5001,19210-12-9
Prestw-989,13C10,SL-000-1218,E19,SL-000-1218E19,Asiaticoside,C48H78O19,959.14546,16830-15-2
Prestw-990,13C11,SL-000-1218,E21,SL-000-1218E21,Betulin,C30H50O2,442.7318,473-98-3
Prestw-991,13D02,SL-000-1218,G03,SL-000-1218G03,Gliquidone,C27H33N3O6S,527.64456,33342-05-1
Prestw-992,13D03,SL-000-1218,G05,SL-000-1218G05,Pizotifen malate,C23H27NO5S,429.53934,5189-11-7
Prestw-993,13D04,SL-000-1218,G07,SL-000-1218G07,Ribavirin,C8H12N4O5,244.20864,36791-04-5
Prestw-994,13D05,SL-000-1218,G09,SL-000-1218G09,Cyclopenthiazide,C13H18ClN3O4S2,379.88711,742-20-1
Prestw-995,13D06,SL-000-1218,G11,SL-000-1218G11,Fluvoxamine maleate,C19H25F3N2O6,434.4161,61718-82-9
Prestw-996,13D07,SL-000-1218,G13,SL-000-1218G13,Cefalonium,C20H18N4O5S2,458.51826,5575-21-3
Prestw-997,13D08,SL-000-1218,G15,SL-000-1218G15,Fluticasone propionate,C25H31F3O5S,500.58202,80474-14-2
Prestw-998,13D09,SL-000-1218,G17,SL-000-1218G17,Zuclopenthixol hydrochloride,C22H26Cl2N2OS,437.43532,633-59-0
Prestw-999,13D10,SL-000-1218,G19,SL-000-1218G19,Proguanil hydrochloride,C11H17Cl2N5,290.19764,637-32-1
Prestw-1000,13D11,SL-000-1218,G21,SL-000-1218G21,Lymecycline,C29H38N4O10,602.64701,992-21-2
Prestw-1001,13E02,SL-000-1218,I03,SL-000-1218I03,Alfadolone acetate,C23H34O5,390.52443,23930-37-2
Prestw-1002,13E03,SL-000-1218,I05,SL-000-1218I05,Alfaxalone,C21H32O3,332.48739,23930-19-0
Prestw-1003,13E04,SL-000-1218,I07,SL-000-1218I07,Azapropazone,C16H20N4O2,300.3634,13539-59-8
Prestw-1004,13E05,SL-000-1218,I09,SL-000-1218I09,Meptazinol hydrochloride,C15H24ClNO,269.81763,59263-76-2
Prestw-1005,13E06,SL-000-1218,I11,SL-000-1218I11,Apramycin,C21H41N5O11,539.58782,37321-09-8
Prestw-1006,13E07,SL-000-1218,I13,SL-000-1218I13,Epitiostanol,C19H30OS,306.51435,2363-58-8
Prestw-1007,13E08,SL-000-1218,I15,SL-000-1218I15,Fursultiamine Hydrochloride,C17H27ClN4O3S2,435.01074,2105-43-3
Prestw-1008,13E09,SL-000-1218,I17,SL-000-1218I17,Gabexate mesilate,C17H27N3O7S,417.48464,56974-61-9
Prestw-1009,13E10,SL-000-1218,I19,SL-000-1218I19,Pivampicillin,C22H29N3O6S,463.55693,33817-20-8
Prestw-1010,13E11,SL-000-1218,I21,SL-000-1218I21,Talampicillin hydrochloride,C24H24ClN3O6S,517.99238,39878-70-1
Prestw-1011,13F02,SL-000-1218,K03,SL-000-1218K03,Flucloxacillin sodium,C19H16ClFN3NaO5S,475.86167,1847-24-1
Prestw-1012,13F03,SL-000-1218,K05,SL-000-1218K05,Trapidil,C10H15N5,205.26455,15421-84-8
Prestw-1013,13F04,SL-000-1218,K07,SL-000-1218K07,Deptropine citrate,C29H35NO8,525.6042,2169-75-7
Prestw-1014,13F05,SL-000-1218,K09,SL-000-1218K09,Sertraline,C17H17Cl2N,306.23774,79617-96-2
Prestw-1015,13F06,SL-000-1218,K11,SL-000-1218K11,Ethamsylate,C10H17NO5S,263.31469,2624-44-4
Prestw-1016,13F07,SL-000-1218,K13,SL-000-1218K13,Moxonidine,C9H12ClN5O,241.68189,75438-57-2
Prestw-1017,13F08,SL-000-1218,K15,SL-000-1218K15,Etilefrine hydrochloride,C10H16ClNO2,217.69752,534-87-2
Prestw-1018,13F09,SL-000-1218,K17,SL-000-1218K17,Alprostadil,C20H34O5,354.49098,745-65-3
Prestw-1019,13F10,SL-000-1218,K19,SL-000-1218K19,Tribenoside,C29H34O6,478.59073,10310-32-4
Prestw-1020,13F11,SL-000-1218,K21,SL-000-1218K21,Rimexolone,C24H34O3,370.53678,49697-38-3
Prestw-1021,13G02,SL-000-1218,M03,SL-000-1218M03,Isradipine,C19H21N3O5,371.39632,75695-93-1
Prestw-1022,13G03,SL-000-1218,M05,SL-000-1218M05,Tiletamine hydrochloride,C12H18ClNOS,259.80036,14176-50-2
Prestw-1023,13G04,SL-000-1218,M07,SL-000-1218M07,Isometheptene mucate,C24H48N2O8,492.65876,7492-31-1
Prestw-1024,13G05,SL-000-1218,M09,SL-000-1218M09,Nifurtimox,C10H13N3O5S,287.29621,23256-30-6
Prestw-1025,13G06,SL-000-1218,M11,SL-000-1218M11,Letrozole,C17H11N5,285.31072,112809-51-5
Prestw-1026,13G07,SL-000-1218,M13,SL-000-1218M13,Arbutin,C12H16O7,272.25712,497-76-7
Prestw-1027,13G08,SL-000-1218,M15,SL-000-1218M15,Tocainide hydrochloride,C11H17ClN2O,228.72394,71395-14-7
Prestw-1028,13G09,SL-000-1218,M17,SL-000-1218M17,Benzathine benzylpenicillin,C48H56N6O10S2,941.14372,5928-84-7
Prestw-1029,13G10,SL-000-1218,M19,SL-000-1218M19,Risperidone,C23H27FN4O2,410.49564,106266-06-2
Prestw-1030,13G11,SL-000-1218,M21,SL-000-1218M21,Torsemide,C16H20N4O3S,348.4268,56211-40-6
Prestw-1031,13H02,SL-000-1218,O03,SL-000-1218O03,Halofantrine hydrochloride,C26H31Cl3F3NO,536.89727,36167-63-2
Prestw-1032,13H03,SL-000-1218,O05,SL-000-1218O05,Articaine hydrochloride,C13H21ClN2O3S,320.84092,23964-57-0
Prestw-1033,13H04,SL-000-1218,O07,SL-000-1218O07,Nomegestrol acetate,C23H30O4,370.49315,58652-20-3
Prestw-1034,13H05,SL-000-1218,O09,SL-000-1218O09,Pancuronium bromide,C35H60Br2N2O4,732.68745,15500-66-0
Prestw-1035,13H06,SL-000-1218,O11,SL-000-1218O11,Molindone hydrochloride,C16H25ClN2O2,312.84285,15622-65-8
Prestw-1036,13H07,SL-000-1218,O13,SL-000-1218O13,Alcuronium chloride,C44H50Cl2N4O2,737.8207,15180-03-7
Prestw-1037,13H08,SL-000-1218,O15,SL-000-1218O15,Zalcitabine,C9H13N3O3,211.22226,
Prestw-1038,13H09,SL-000-1218,O17,SL-000-1218O17,Methyldopate hydrochloride,C12H18ClNO4,275.73456,2508-79-4
Prestw-1039,13H10,SL-000-1218,O19,SL-000-1218O19,Levocabastine hydrochloride,C26H30ClFN2O2,456.9926,79547-78-7
Prestw-1040,13H11,SL-000-1218,O21,SL-000-1218O21,Pyrvinium pamoate,C101H98N9O6,1533.96391,3546-41-6
Prestw-1041,14A02,SL-000-1218,A04,SL-000-1218A04,Etomidate,C14H16N2O2,244.29582,33125-97-2
Prestw-1042,14A03,SL-000-1218,A06,SL-000-1218A06,Tridihexethyl chloride,C21H36ClNO,353.98017,4310-35-4
Prestw-1043,14A04,SL-000-1218,A08,SL-000-1218A08,Penbutolol sulfate,C36H60N2O8S,680.9522,38363-32-5
Prestw-1044,14A05,SL-000-1218,A10,SL-000-1218A10,Prednicarbate,C27H36O8,488.58317,73771-04-7
Prestw-1045,14A06,SL-000-1218,A12,SL-000-1218A12,Sertaconazole nitrate,C20H16Cl3N3O4S,500.79122,99592-39-9
Prestw-1046,14A07,SL-000-1218,A14,SL-000-1218A14,Repaglinide,C27H36N2O4,452.59897,135062-02-1
Prestw-1047,14A08,SL-000-1218,A16,SL-000-1218A16,Piretanide,C17H18N2O5S,362.40741,55837-27-9
Prestw-1048,14A09,SL-000-1218,A18,SL-000-1218A18,Piperacetazine,C24H30N2O2S,410.5829,3819-00-9
Prestw-1049,14A10,SL-000-1218,A20,SL-000-1218A20,Oxyphenbutazone,C19H20N2O3,324.38285,129-20-4
Prestw-1050,14A11,SL-000-1218,A22,SL-000-1218A22,Quinethazone,C10H12ClN3O3S,289.74244,73-49-4
Prestw-1051,14B02,SL-000-1218,C04,SL-000-1218C04,Moricizine hydrochloride,C22H26ClN3O4S,463.98722,31883-05-3
Prestw-1052,14B03,SL-000-1218,C06,SL-000-1218C06,Iopanoic acid,C11H12I3NO2,570.93699,96-83-3
Prestw-1053,14B04,SL-000-1218,C08,SL-000-1218C08,Pivmecillinam hydrochloride,C21H34ClN3O5S,476.03923,32887-03-9
Prestw-1054,14B05,SL-000-1218,C10,SL-000-1218C10,Levopropoxyphene napsylate,C32H37NO5S,547.71939,5714-90-9
Prestw-1055,14B06,SL-000-1218,C12,SL-000-1218C12,Piperidolate hydrochloride,C21H26ClNO2,359.89987,129-77-1
Prestw-1056,14B07,SL-000-1218,C14,SL-000-1218C14,Trifluridine,C10H11F3N2O5,296.20477,70-00-8
Prestw-1057,14B08,SL-000-1218,C16,SL-000-1218C16,Oxprenolol hydrochloride,C15H24ClNO3,301.81643,6452-73-9
Prestw-1058,14B09,SL-000-1218,C18,SL-000-1218C18,Ondansetron Hydrochloride,C18H20ClN3O,329.8326,103639-04-9
Prestw-1059,14B10,SL-000-1218,C20,SL-000-1218C20,Propoxycaine hydrochloride,C16H27ClN2O3,330.85819,550-83-4
Prestw-1060,14B11,SL-000-1218,C22,SL-000-1218C22,Oxaprozin,C18H15NO3,293.32515,21256-18-8
Prestw-1061,14C02,SL-000-1218,E04,SL-000-1218E04,Phensuximide,C11H11NO2,189.21582,86-34-0
Prestw-1062,14C03,SL-000-1218,E06,SL-000-1218E06,Ioxaglic acid ,C24H21I6N5O8,1268.89007,59017-64-0
Prestw-1063,14C04,SL-000-1218,E08,SL-000-1218E08,Naftifine hydrochloride,C21H22ClN,323.86919,65473-14-5
Prestw-1064,14C05,SL-000-1218,E10,SL-000-1218E10,Meprylcaine hydrochloride ,C14H22ClNO2,271.78994,956-03-6
Prestw-1065,14C06,SL-000-1218,E12,SL-000-1218E12,Milrinone,C12H9N3O,211.22503,78415-72-2
Prestw-1066,14C07,SL-000-1218,E14,SL-000-1218E14,Methantheline bromide,C21H26BrNO3,420.35027,53-46-3
Prestw-1067,14C08,SL-000-1218,E16,SL-000-1218E16,Ticarcillin sodium,C15H14N2Na2O6S2,428.39623,4697-14-7
Prestw-1068,14C09,SL-000-1218,E18,SL-000-1218E18,Thiethylperazine malate,C30H41N3O10S2,667.80337,52239-63-1
Prestw-1069,14C10,SL-000-1218,E20,SL-000-1218E20,Mesalamine,C7H7NO3,153.13874,89-57-6
Prestw-1070,14C11,SL-000-1218,E22,SL-000-1218E22,alpha-Santonin,C15H18O3,246.30891,481-06-1
Prestw-1071,14D02,SL-000-1218,G04,SL-000-1218G04,Imidurea,C11H16N8O8,388.29897,39236-46-9
Prestw-1072,14D03,SL-000-1218,G06,SL-000-1218G06,Lansoprazole,C16H14F3N3O2S,369.36808,103577-45-3
Prestw-1073,14D04,SL-000-1218,G08,SL-000-1218G08,Bethanechol chloride,C7H17ClN2O2,196.67874,590-63-6
Prestw-1074,14D05,SL-000-1218,G10,SL-000-1218G10,Cyproterone acetate,C24H29ClO4,416.94933,427-51-0
Prestw-1075,14D06,SL-000-1218,G12,SL-000-1218G12,(R)-Propranolol hydrochloride,C16H22ClNO2,295.81224,13071-11-9
Prestw-1076,14D07,SL-000-1218,G14,SL-000-1218G14,Ciprofibrate,C13H14Cl2O3,289.16073,52214-84-3
Prestw-1077,14D08,SL-000-1218,G16,SL-000-1218G16,Tropine,C8H15NO,141.21485,120-29-6
Prestw-1078,14D09,SL-000-1218,G18,SL-000-1218G18,Benzylpenicillin sodium,C16H17N2NaO4S,356.37869,69-57-8
Prestw-1079,14D10,SL-000-1218,G20,SL-000-1218G20,Chlorambucil,C14H19Cl2NO2,304.21903,305-03-3
Prestw-1080,14D11,SL-000-1218,G22,SL-000-1218G22,Methiazole,C12H15N3O2S,265.33625,108579-67-5
Prestw-1081,14E02,SL-000-1218,I04,SL-000-1218I04,(S)-propranolol hydrochloride,C16H22ClNO2,295.81224,4199-10-4
Prestw-1082,14E03,SL-000-1218,I06,SL-000-1218I06,(-)-Eseroline fumarate salt,C17H22N2O5,334.37529,104015-29-4
Prestw-1083,14E04,SL-000-1218,I08,SL-000-1218I08,Condelphine,C25H39NO6,449.59268,7633-69-4
Prestw-1084,14E05,SL-000-1218,I10,SL-000-1218I10,Leucomisine,C15H18O3,246.30891,17946-87-1
Prestw-1085,14E06,SL-000-1218,I12,SL-000-1218I12,Dubinidine,C15H17NO4,275.30704,22964-77-8
Prestw-1086,14E07,SL-000-1218,I14,SL-000-1218I14,D-cycloserine,C3H6N2O2,102.09347,68-41-7
Prestw-1087,14E08,SL-000-1218,I16,SL-000-1218I16,2-Chloropyrazine,C4H3ClN2,114.53491,14508-49-7
Prestw-1088,14E09,SL-000-1218,I18,SL-000-1218I18,"(+,-)-Synephrine",C9H13NO2,167.20946,94-07-5
Prestw-1089,14E10,SL-000-1218,I20,SL-000-1218I20,(S)-(-)-Cycloserine,C3H6N2O2,102.09347,339-72-0
Prestw-1090,14E11,SL-000-1218,I22,SL-000-1218I22,Homosalate,C16H22O3,262.35194,118-56-9
Prestw-1091,14F02,SL-000-1218,K04,SL-000-1218K04,Spaglumic acid,C11H16N2O8,304.25877,4910-46-7
Prestw-1092,14F03,SL-000-1218,K06,SL-000-1218K06,"(-)-Adenosine 3',5'-cyclic monophosphate",C10H12N5O6P,329.21084,60-92-4
Prestw-1093,14F04,SL-000-1218,K08,SL-000-1218K08,(-)-Quinpirole hydrochloride,C13H22ClN3,255.79339,85760-74-3
Prestw-1094,14F05,SL-000-1218,K10,SL-000-1218K10,Sulfadoxine,C12H14N4O4S,310.33378,2447-57-6
Prestw-1095,14F06,SL-000-1218,K12,SL-000-1218K12,Cyclopentolate hydrochloride,C17H26ClNO3,327.85467,5870-29-1
Prestw-1096,14F07,SL-000-1218,K14,SL-000-1218K14,Estriol,C18H24O3,288.39018,50-27-1
Prestw-1097,14F08,SL-000-1218,K16,SL-000-1218K16,(-)-Isoproterenol hydrochloride,C11H18ClNO3,247.72401,5984-95-2
Prestw-1098,14F09,SL-000-1218,K18,SL-000-1218K18,Kaempferol,C15H10O6,286.24335,520-18-3
Prestw-1099,14F10,SL-000-1218,K20,SL-000-1218K20,Nialamide,C16H18N4O2,298.34746,51-12-7
Prestw-1100,14F11,SL-000-1218,K22,SL-000-1218K22,Vitamin K2,C21H24O2,308.42423,11032-49-8
Prestw-1101,14G02,SL-000-1218,M04,SL-000-1218M04,Netilmicin sulfate,C42H92N10O34S5,1441.56814,56391-57-2
Prestw-1102,14G03,SL-000-1218,M06,SL-000-1218M06,Loracarbef,C15H14ClN3O4S,367.81353,121961-22-6
Prestw-1103,14G04,SL-000-1218,M08,SL-000-1218M08,Quinic acid,C7H12O6,192.17009,36413-60-2
Prestw-1104,14G05,SL-000-1218,M10,SL-000-1218M10,Natamycin,C33H47NO13,665.74144,7681-93-8
Prestw-1105,14G06,SL-000-1218,M12,SL-000-1218M12,Verteporfin,C41H44N4O9,736.82923,129497-78-5
Prestw-1106,14G07,SL-000-1218,M14,SL-000-1218M14,Meropenem,C17H25N3O5S,383.4699,96036-03-2
Prestw-1107,14G08,SL-000-1218,M16,SL-000-1218M16,Ramipril,C23H32N2O5,416.52189,87333-19-5
Prestw-1108,14G09,SL-000-1218,M18,SL-000-1218M18,Mephenytoin,C12H14N2O2,218.25758,50-12-4
Prestw-1109,14G10,SL-000-1218,M20,SL-000-1218M20,Rifabutin,C46H62N4O11,847.02724,72559-06-9
Prestw-1110,14G11,SL-000-1218,M22,SL-000-1218M22,Parbendazole,C13H17N3O2,247.29934,14255-87-9
Prestw-1111,14H02,SL-000-1218,O04,SL-000-1218O04,Mecamylamine hydrochloride,C11H22ClN,203.75769,826-39-1
Prestw-1112,14H03,SL-000-1218,O06,SL-000-1218O06,Procarbazine hydrochloride,C12H20ClN3O,257.7657,366-70-1
Prestw-1113,14H04,SL-000-1218,O08,SL-000-1218O08,Viomycin sulfate,C25H45N13O14S,783.7801,37883-00-4
Prestw-1114,14H05,SL-000-1218,O10,SL-000-1218O10,Saquinavir mesylate,C39H54N6O8S,766.96463,149845-06-7
Prestw-1115,14H06,SL-000-1218,O12,SL-000-1218O12,Ronidazole,C6H8N4O4,200.15506,7681-76-7
Prestw-1116,14H07,SL-000-1218,O14,SL-000-1218O14,Dorzolamide hydrochloride,C10H17ClN2O4S3,360.90299,130693-82-2
Prestw-1117,14H08,SL-000-1218,O16,SL-000-1218O16,Azaperone,C19H22FN3O,327.40509,1649-18-9
Prestw-1118,14H09,SL-000-1218,O18,SL-000-1218O18,Cefepime hydrochloride,C19H27ClN6O6S2,535.04464,123171-59-5
Prestw-1119,14H10,SL-000-1218,O20,SL-000-1218O20,Clocortolone pivalate,C27H36ClFO5,495.03637,34097-16-0
Prestw-1120,14H11,SL-000-1218,O22,SL-000-1218O22,Cyclacillin,C15H23N3O4S,341.43226,3485-14-1
BIOMOL,344A02,SL-000-1218,B03,SL-000-1218B03,Bulleyaconitine A,,643.8,107668-79-1
BIOMOL,344B02,SL-000-1218,D03,SL-000-1218D03,Dihydrotanshinone,,278.3,
BIOMOL,344C02,SL-000-1218,F03,SL-000-1218F03,Vindoline,,456.5,2182-14-1
BIOMOL,344D02,SL-000-1218,H03,SL-000-1218H03,Evodiamine,,303.3,518-17-2
BIOMOL,344E02,SL-000-1218,J03,SL-000-1218J03,Cafestol,,316.4,469-83-0
BIOMOL,344F02,SL-000-1218,L03,SL-000-1218L03,"Dimethoxydihydrokawain, 11,12-",,292.3,N.F.
BIOMOL,344G02,SL-000-1218,N03,SL-000-1218N03,Nomilin,,514.3,1063-77-0
